long,long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,long,long,long,long,flags,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,float,long,long
404,-1,-1,407,"High Five: 2000",,,,,,,,,,,,,,,,0xFF01FE,"Earn a 2000 personal rating in the 5v5 bracket of the arena at level 80.",,,,,,,,,,,,,,,,16712190,165,10,16,0x0,3044,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
643,-1,-1,0,"Lower Blackrock Spire",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Overlord Wyrmthalak.",,,,,,,,,,,,,,,,16712190,14808,10,16,0x0,3650,"",,,,,,,,,,,,,,,,2,34187437617291E-38,1,0
661,-1,-1,0,"Magister's Terrace",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Kael'thas Sunstrider.",,,,,,,,,,,,,,,,16712190,14805,10,16,0x0,3665,"",,,,,,,,,,,,,,,,2,34187437617291E-38,1,0
708,0,-1,0,"Hero of the Frostwolf Clan",,,,,,,,,,,,,,,,0xFF01FE,"Gain exalted reputation with the Frostwolf Clan.",,,,,,,,,,,,,,,,16712190,14801,10,16,0x0,2828,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
760,-1,-1,0,"Explore Alterac Mountains",,,,,,,,,,,,,,,,0xFF01FE,"Explore Alterac Mountains, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16712190,14777,10,16,0x0,3541,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
853,-1,-1,0,"Explore Felwood",,,,,,,,,,,,,,,,0xFF01FE,"Explore Felwood, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16712190,14778,10,16,0x0,3538,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
905,-1,-1,0,"Old Man Barlowned",,,,,,,,,,,,,,,,0xFF01FE,"Complete each of Old Man Barlo's 5 fishing daily quests listed below.",,,,,,,,,,,,,,,,16712190,171,10,16,0x0,3693,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
962,-1,-1,0,"Savior of the Oracles",,,,,,,,,,,,,,,,0xFF01FE,"Complete the 8 daily quests for the Oracles listed below.",,,,,,,,,,,,,,,,16712190,14863,10,16,0x0,3478,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
968,0,-1,0,"Tricks and Treats of Outland",,,,,,,,,,,,,,,,0xFF01FE,"Visit the Candy Buckets in Outland.",,,,,,,,,,,,,,,,16712190,158,10,16,0x0,2952,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1031,0,-1,0,"Extinguishing Eastern Kingdoms",,,,,,,,,,,,,,,,0xFF01FE,"Desecrate the Alliance's bonfires in Eastern Kingdoms.",,,,,,,,,,,,,,,,16712190,161,10,16,0x0,1920,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1083,-1,532,0,"Prince Malchezaar kills (Karazhan)",,,,,,,,,,,,,,,,0xFF01FE,"Prince Malchezaar kills (Karazhan)",,,,,,,,,,,,,,,,16712190,14822,5,16,0x1,2294,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1169,1,-1,0,"Master of Arathi Basin",,,,,,,,,,,,,,,,0xFF01FE,"Complete the Arathi Basin achievements listed below.",,,,,,,,,,,,,,,,16712190,14802,25,16,0x0,1156,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1181,-1,-1,1180,"Got My Mind On My Money",,,,,,,,,,,,,,,,0xFF01FE,"Loot 25,000 gold.",,,,,,,,,,,,,,,,16712190,92,10,16,0x0,2801,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1408,-1,-1,0,"Realm First! Level 80 Human",,,,,,,,,,,,,,,,0xFF01FE,"First human on the realm to achieve level 80.",,,,,,,,,,,,,,,,16712190,81,0,16,0x100,3325,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1511,-1,599,0,"Sjonnir the Ironshaper kills (Heroic Halls of Stone)",,,,,,,,,,,,,,,,0xFF01FE,"Sjonnir the Ironshaper kills (Heroic Halls of Stone)",,,,,,,,,,,,,,,,16712190,14823,5,16,0x1,2325,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
1546,-1,-1,0,"Ring of Valor victories",,,,,,,,,,,,,,,,0xFF01FE,"Ring of Valor victories",,,,,,,,,,,,,,,,16712190,152,0,16,0x1,4,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
1576,-1,-1,0,"Of Blood and Anguish",,,,,,,,,,,,,,,,0xFF01FE,"Complete the Ring of Blood quests in Nagrand and the Ampitheater of Anguish quests in Zul'Drak.",,,,,,,,,,,,,,,,16712190,96,10,16,0x0,1599,"",,,,,,,,,,,,,,,,4,23703897338348E37,0,0
1638,-1,-1,0,"Skyshattered",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Captain Skyshatter in the Dragonmaw race on Netherwing Ledge.",,,,,,,,,,,,,,,,16712190,14865,10,16,0x0,1928,"",,,,,,,,,,,,,,,,4,23703897338348E37,0,0
1702,-1,-1,0,"Sweet Tooth",,,,,,,,,,,,,,,,0xFF01FE,"Sample the Love is in the Air candies listed below.",,,,,,,,,,,,,,,,16712190,187,10,16,0x0,1855,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
1722,-1,624,0,"Archavon the Stone Watcher (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Archavon the Stone Watcher in 10 player mode.",,,,,,,,,,,,,,,,16712190,14901,10,16,0x0,2351,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
1771,-1,-1,0,"Lich King 10-player different bosses killed",,,,,,,,,,,,,,,,0xFF01FE,"Lich King 10-player different bosses killed",,,,,,,,,,,,,,,,16712190,14807,0,16,0x21,1,"",,,,,,,,,,,,,,,,4,23703897338348E37,0,1770
1977,-1,-1,0,"Dalaran Jewelcrafter's Tokens gained",,,,,,,,,,,,,,,,0xFF01FE,"Dalaran Jewelcrafter's Tokens gained",,,,,,,,,,,,,,,,16712190,173,0,16,0x1,1,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2002,-1,-1,2001,"100 Dalaran Cooking Awards",,,,,,,,,,,,,,,,0xFF01FE,"Obtain 100 Dalaran Cooking Awards.",,,,,,,,,,,,,,,,16712190,170,10,16,0x0,2468,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2180,-1,533,0,"Subtraction (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Thaddius in Naxxramas with less than 9 players in 10-player mode.",,,,,,,,,,,,,,,,16712190,14922,10,16,0x0,1885,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2181,-1,533,0,"Subtraction (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Thaddius in Naxxramas with less than 21 players in 25-player mode.",,,,,,,,,,,,,,,,16712190,14923,10,16,0x0,1885,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2191,-1,607,0,"Ancient Courtyard Protector",,,,,,,,,,,,,,,,0xFF01FE,"Kill 100 players in the Courtyard of the Ancients.",,,,,,,,,,,,,,,,16712190,14881,10,16,0x0,856,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2764,1,-1,2781,"Exalted Champion of Stormwind",,,,,,,,,,,,,,,,0xFF01FE,"Earn exalted status with and the right to represent Stormwind in the Argent Tournament.",,,,,,,,,,,,,,,,16712190,14941,10,16,0x0,3800,"Title Reward: of Stormwind",,,,,,,,,,,,,,,,2,34187661825046E-38,0,0
2873,-1,603,0,"Razorscale kills (Ulduar 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Razorscale kills (Ulduar 25 player)",,,,,,,,,,,,,,,,16712190,14963,10,16,0x1,1700,"",,,,,,,,,,,,,,,,4,23703897338348E37,0,0
2923,-1,603,0,"Iron Dwarf, Medium Rare (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat 25 Dark Rune Guardian Dwarves with Razorscale's Flame Breath in 10-player mode.",,,,,,,,,,,,,,,,16712190,14961,10,16,0x0,3853,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2924,-1,603,0,"Iron Dwarf, Medium Rare (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat 25 Dark Rune Guardian Dwarves with Razorscale's Flame Breath in 25-player mode.",,,,,,,,,,,,,,,,16712190,14962,10,16,0x0,3853,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
3656,0,-1,0,"Pilgrim",,,,,,,,,,,,,,,,0xFF01FE,"Complete the Pilgrim's Bounty achievements listed below.",,,,,,,,,,,,,,,,16712190,155,10,16,0x0,3936,"Reward: Pilgrim Title & Plump Turkey Pet",,,,,,,,,,,,,,,,2,34187661825046E-38,0,0
4027,-1,-1,0,"The Black Knight kills (Heroic Trial of the Champion)",,,,,,,,,,,,,,,,0xFF01FE,"The Black Knight kills (Heroic Trial of the Champion)",,,,,,,,,,,,,,,,16712190,15021,0,16,0x1,1,"",,,,,,,,,,,,,,,,2,34187409591322E-38,0,0
4097,-1,-1,0,"Isle of Conquest victories",,,,,,,,,,,,,,,,0xFF01FE,"Isle of Conquest victories",,,,,,,,,,,,,,,,16712190,153,0,16,0x1,4,"",,,,,,,,,,,,,,,,2,34187409591322E-38,0,0
4256,0,-1,0,"Demolition Derby",,,,,,,,,,,,,,,,0xFF01FE,"Destroy the following vehicles in Isle of Conquest",,,,,,,,,,,,,,,,16712190,15003,10,16,0x0,2306,"",,,,,,,,,,,,,,,,2,34187409591322E-38,0,0
4316,-1,-1,3876,"2500 Dungeon & Raid Emblems",,,,,,,,,,,,,,,,0xFF01FE,"Loot 2500 Emblems of Heroism, Valor, Conquest, Triumph or Frost.",,,,,,,,,,,,,,,,16712190,168,10,16,0x88,1950,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
4437,0,-1,0,"BB King",,,,,,,,,,,,,,,,0xFF01FE,"Pelt the enemy leaders listed below.",,,,,,,,,,,,,,,,16712190,156,10,16,0x0,393,"",,,,,,,,,,,,,,,,2,34187409591322E-38,0,0
4517,-1,658,0,"The Pit of Saron",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the bosses in The Pit of Saron.",,,,,,,,,,,,,,,,16712190,14806,10,16,0x0,4150,"",,,,,,,,,,,,,,,,2,34187409591322E-38,0,0
4520,-1,658,0,"Heroic: The Pit of Saron",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the bosses in The Pit of Saron on Heroic difficulty.",,,,,,,,,,,,,,,,16712190,14921,10,16,0x0,4150,"",,,,,,,,,,,,,,,,2,34187409591322E-38,0,0
4537,-1,631,0,"I've Gone and Made a Mess (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the Deathbringer before Mark of the Fallen Champion is cast three times in 10-player mode.",,,,,,,,,,,,,,,,16712190,15041,10,16,0x0,4161,"",,,,,,,,,,,,,,,,2,34187409591322E-38,1,0
4613,-1,631,0,"I've Gone and Made a Mess (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the Deathbringer before Mark of the Fallen Champion is cast five times in 25-player mode.",,,,,,,,,,,,,,,,16712190,15042,10,16,0x0,4161,"",,,,,,,,,,,,,,,,2,34187409591322E-38,1,0
4727,-1,-1,0,"Lich King escapes (Heroic Halls of Reflection)",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,16712188,15062,0,16,0x1,1,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
99,-1,-1,0,"Ruins of Lordaeron matches",,,,,,,,,,,,,,,,0xFF01FE,"Ruins of Lordaeron matches",,,,,,,,,,,,,,,,16712190,152,0,17,0x1,4,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
388,1,-1,0,"City Defender",,,,,,,,,,,,,,,,0xFF01FE,"Kill 50 enemy players in any of your home cities.",,,,,,,,,,,,,,,,16712190,95,10,17,0x88,3574,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
393,-1,-1,0,"Alterac Valley towers defended",,,,,,,,,,,,,,,,0xFF01FE,"Alterac Valley towers defended",,,,,,,,,,,,,,,,16712190,153,0,17,0x1,1243604,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
667,-1,543,0,"Heroic: Hellfire Ramparts",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the leaders of Hellfire Ramparts on Heroic Difficulty.",,,,,,,,,,,,,,,,16712190,14805,10,17,0x0,3680,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
709,1,-1,0,"Hero of the Stormpike Guard",,,,,,,,,,,,,,,,0xFF01FE,"Gain exalted reputation with the Stormpike Guard.",,,,,,,,,,,,,,,,16712190,14801,10,17,0x0,2829,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
761,-1,-1,0,"Explore Arathi Highlands",,,,,,,,,,,,,,,,0xFF01FE,"Explore Arathi Highlands, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16712190,14777,10,17,0x0,3542,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
854,-1,-1,0,"Explore Un'Goro Crater",,,,,,,,,,,,,,,,0xFF01FE,"Explore Un'Goro Crater, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16712190,14778,10,17,0x0,3588,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
891,-1,-1,0,"Giddy Up!",,,,,,,,,,,,,,,,0xFF01FE,"Learn the apprentice riding skill.",,,,,,,,,,,,,,,,16712190,92,10,17,0x0,1176,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
938,-1,-1,0,"The Snows of Northrend",,,,,,,,,,,,,,,,0xFF01FE,"Complete all of Hemet Nesingwary quests in Northrend up to and including Post-partum Aggression.",,,,,,,,,,,,,,,,16712190,14863,10,17,0x0,1581,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
971,0,-1,0,"Tricks and Treats of Azeroth",,,,,,,,,,,,,,,,0xFF01FE,"Complete the Kalimdor, Eastern Kingdoms and Outland Tricks and Treats achievements.",,,,,,,,,,,,,,,,16712190,158,20,17,0x0,1743,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1032,0,-1,0,"Extinguishing Kalimdor",,,,,,,,,,,,,,,,0xFF01FE,"Desecrate the Alliance's bonfires in Kalimdor.",,,,,,,,,,,,,,,,16712190,161,10,17,0x0,1920,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1084,-1,568,0,"Zul'jin kills (Zul'Aman)",,,,,,,,,,,,,,,,0xFF01FE,"Zul'jin kills (Zul'Aman)",,,,,,,,,,,,,,,,16712190,14822,5,17,0x1,2806,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1161,-1,-1,404,"High Five: 2200",,,,,,,,,,,,,,,,0xFF01FE,"Earn a 2200 personal rating in the 5v5 bracket of the arena at level 80.",,,,,,,,,,,,,,,,16712190,165,10,17,0x0,3043,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1170,0,-1,0,"Master of Arathi Basin",,,,,,,,,,,,,,,,0xFF01FE,"Complete the Arathi Basin achievements listed below.",,,,,,,,,,,,,,,,16712190,14802,25,17,0x0,1156,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1182,-1,-1,0,"The Bread Winner",,,,,,,,,,,,,,,,0xFF01FE,"Make 10,000 gold from quest rewards.",,,,,,,,,,,,,,,,16712190,96,10,17,0x0,2995,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1225,-1,530,0,"Outland Angler",,,,,,,,,,,,,,,,0xFF01FE,"Catch a fish in each of the specific nodes listed below.",,,,,,,,,,,,,,,,16712190,171,10,17,0x0,3691,"",,,,,,,,,,,,,,,,4,23703948044372E37,0,0
1238,-1,602,0,"Loken kills (Halls of Lightning)",,,,,,,,,,,,,,,,0xFF01FE,"Loken kills (Halls of Lightning)",,,,,,,,,,,,,,,,16712190,14823,5,17,0x1,320,"",,,,,,,,,,,,,,,,4,23703948044372E37,0,0
1307,-1,-1,0,"Upper Blackrock Spire",,,,,,,,,,,,,,,,0xFF01FE,"Defeat General Drakkisath.",,,,,,,,,,,,,,,,16712190,14808,10,17,0x0,3821,"",,,,,,,,,,,,,,,,4,23703897338348E37,1,0
1409,-1,-1,0,"Realm First! Level 80 Night Elf",,,,,,,,,,,,,,,,0xFF01FE,"First night elf on the realm to achieve level 80.",,,,,,,,,,,,,,,,16712190,81,0,17,0x100,3288,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1502,0,489,0,"Quick Cap",,,,,,,,,,,,,,,,0xFF01FE,"Grab the flag and capture it in under 75 seconds.",,,,,,,,,,,,,,,,16712190,14804,10,17,0x0,3483,"",,,,,,,,,,,,,,,,4,23703897338348E37,0,0
1536,-1,-1,0,"Highest Leatherworking skill",,,,,,,,,,,,,,,,0xFF01FE,"Highest Leatherworking skill",,,,,,,,,,,,,,,,16712190,173,0,17,0x1,1,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
1658,-1,-1,0,"Champion of the Frozen Wastes",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the dungeon and raid bosses listed below.",,,,,,,,,,,,,,,,16712190,168,10,17,0x0,182,"Title Reward: Champion of the Frozen Wastes",,,,,,,,,,,,,,,,2,34187661825046E-38,0,0
1691,0,-1,0,"Merrymaker",,,,,,,,,,,,,,,,0xFF01FE,"Complete the Winter Veil achievements listed below.",,,,,,,,,,,,,,,,16712190,155,10,17,0x0,3695,"Title Reward: Merrymaker",,,,,,,,,,,,,,,,2,34187661825046E-38,0,0
1721,-1,624,0,"Archavon the Stone Watcher (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Archavon the Stone Watcher in 25 player mode.",,,,,,,,,,,,,,,,16712190,14901,10,17,0x0,2351,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
1772,-1,-1,0,"Lich King 10-player boss killed the most",,,,,,,,,,,,,,,,0xFF01FE,"Lich King 10-player boss killed the most",,,,,,,,,,,,,,,,16712190,14807,0,17,0x11,1,"",,,,,,,,,,,,,,,,4,23703897338348E37,0,1770
1773,-1,-1,0,"Beverage consumed most",,,,,,,,,,,,,,,,0xFF01FE,"Beverage consumed most",,,,,,,,,,,,,,,,16712190,145,0,17,0x11,1,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,346
1780,-1,-1,0,"Second That Emotion",,,,,,,,,,,,,,,,0xFF01FE,"Eat each one of the emotion foods listed below.""",,,,,,,,,,,,,,,,16712190,170,10,17,0x0,1854,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2182,-1,533,0,"Spore Loser (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Loatheb in Naxxramas without killing any spores in 10-player mode.",,,,,,,,,,,,,,,,16712190,14922,10,17,0x0,3099,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2183,-1,533,0,"Spore Loser (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Loatheb in Naxxramas without killing any spores in 25-player mode.",,,,,,,,,,,,,,,,16712190,14923,10,17,0x0,3099,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2194,1,-1,0,"Master of Strand of the Ancients",,,,,,,,,,,,,,,,0xFF01FE,"Complete the Strand of the Ancients achievements listed below.",,,,,,,,,,,,,,,,16712190,14881,25,17,0x0,3402,"",,,,,,,,,,,,,,,,4,23703897338348E37,0,0
2782,1,-1,0,"Champion of the Alliance",,,,,,,,,,,,,,,,0xFF01FE,"Earn the right to represent every Alliance race's faction in the Argent Tournament.",,,,,,,,,,,,,,,,16712190,14941,10,17,0x0,3807,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2874,-1,603,0,"Ignis the Furnace Master kills (Ulduar 25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Ignis the Furnace Master kills (Ulduar 25 player)",,,,,,,,,,,,,,,,16712190,14963,10,17,0x1,1700,"",,,,,,,,,,,,,,,,4,23703897338348E37,0,0
2925,-1,603,0,"Shattered (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Ignis the Furnace Master after shattering 2 Iron Constructs within 5 seconds in 10-player mode.",,,,,,,,,,,,,,,,16712190,14961,10,17,0x0,976,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
2926,-1,603,0,"Shattered (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Ignis the Furnace Master after shattering 2 Iron Constructs within 5 seconds in 25-player mode.",,,,,,,,,,,,,,,,16712190,14962,10,17,0x0,976,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
3855,-1,628,0,"Glaive Grave",,,,,,,,,,,,,,,,0xFF01FE,"In Isle of Conquest, kill 10 players with a Glaive Thrower without dying.",,,,,,,,,,,,,,,,16712190,15003,10,17,0x0,85,"",,,,,,,,,,,,,,,,2,3507011551997E-38,0,0
4028,-1,-1,0,"Victories over the Beasts of Northrend (Trial of the Crusader 10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Victories over the Beasts of Northrend (Trial of the Crusader 10 player)",,,,,,,,,,,,,,,,16712190,15021,0,17,0x1,1,"",,,,,,,,,,,,,,,,2,34187409591322E-38,0,0
4518,-1,668,0,"The Halls of Reflection",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the bosses in The Halls of Reflection.",,,,,,,,,,,,,,,,16712190,14806,10,17,0x0,4151,"",,,,,,,,,,,,,,,,2,34187409591322E-38,0,0
4521,-1,668,0,"Heroic: The Halls of Reflection",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the bosses in The Halls of Reflection on Heroic difficulty.",,,,,,,,,,,,,,,,16712190,14921,10,17,0x0,4151,"",,,,,,,,,,,,,,,,2,34187409591322E-38,0,0
4538,-1,631,0,"Dances with Oozes (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Rotface without a Big Ooze casting Unstable Ooze Explosion in 10-player mode.",,,,,,,,,,,,,,,,16712190,15041,10,17,0x0,636,"",,,,,,,,,,,,,,,,2,34187409591322E-38,1,0
4614,-1,631,0,"Dances with Oozes (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Rotface without a Big Ooze casting Unstable Ooze Explosion in 25-player mode.",,,,,,,,,,,,,,,,16712190,15042,10,17,0x0,636,"",,,,,,,,,,,,,,,,2,34187409591322E-38,1,0
4624,-1,-1,0,"Tough Love",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the trio of Crown Chemical Co. apothecaries in Shadowfang Keep.",,,,,,,,,,,,,,,,16712190,187,10,17,0x0,1076,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
4639,-1,-1,0,"Lord Marrowgar kills (Icecrown 10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Lord Marrowgar kills (Icecrown 10 player)",,,,,,,,,,,,,,,,16712190,15062,0,17,0x1,1,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
102,-1,-1,0,"Ruins of Lordaeron victories",,,,,,,,,,,,,,,,0xFF01FE,"Ruins of Lordaeron victories",,,,,,,,,,,,,,,,16712190,152,0,18,0x1,4,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
207,-1,489,0,"Save The Day",,,,,,,,,,,,,,,,0xFF01FE,"Kill the enemy who is carrying your flag in the opposing team's flag room while the opposing team's flag is at their base, within their control.",,,,,,,,,,,,,,,,16712190,14804,10,18,0x0,2119,"",,,,,,,,,,,,,,,,2,34187437617291E-38,1,0
394,-1,-1,0,"Alterac Valley towers captured",,,,,,,,,,,,,,,,0xFF01FE,"Alterac Valley towers captured",,,,,,,,,,,,,,,,16712190,153,0,18,0x1,1243604,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
408,-1,-1,0,"Hot Streak",,,,,,,,,,,,,,,,0xFF01FE,"Win ten ranked matches in a row at level 80.",,,,,,,,,,,,,,,,16712190,165,10,18,0x0,11,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
644,-1,429,0,"King of Dire Maul",,,,,,,,,,,,,,,,0xFF01FE,"Defeat each wing of Dire Maul.",,,,,,,,,,,,,,,,16712190,14808,10,18,0x0,559,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
668,-1,542,0,"Heroic: The Blood Furnace",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Keli'dan the Breaker on Heroic Difficulty.",,,,,,,,,,,,,,,,16712190,14805,10,18,0x0,3629,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
773,-1,-1,0,"Explore The Hinterlands",,,,,,,,,,,,,,,,0xFF01FE,"Explore The Hinterlands, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16712190,14777,10,18,0x0,3556,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
855,-1,-1,0,"Explore Moonglade",,,,,,,,,,,,,,,,0xFF01FE,"Explore Moonglade, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16712190,14778,10,18,0x0,1660,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
889,-1,-1,891,"Fast and Furious",,,,,,,,,,,,,,,,0xFF01FE,"Learn the journeyman riding skill.",,,,,,,,,,,,,,,,16712190,92,10,18,0x0,836,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
963,1,-1,0,"Tricks and Treats of Kalimdor",,,,,,,,,,,,,,,,0xFF01FE,"Visit the Candy Buckets in Kalimdor.",,,,,,,,,,,,,,,,16712190,158,10,18,0x0,3509,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1006,0,-1,0,"City Defender",,,,,,,,,,,,,,,,0xFF01FE,"Kill 50 enemy players in any of your home cities.",,,,,,,,,,,,,,,,16712190,95,10,18,0x88,3575,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1033,0,-1,0,"Extinguishing Outland",,,,,,,,,,,,,,,,0xFF01FE,"Desecrate the Alliance's bonfires in Outland.",,,,,,,,,,,,,,,,16712190,161,10,18,0x0,1920,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1085,-1,565,0,"Gruul kills (Gruul's Lair)",,,,,,,,,,,,,,,,0xFF01FE,"Gruul kills (Gruul's Lair)",,,,,,,,,,,,,,,,16712190,14822,5,18,0x1,2798,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1166,-1,30,0,"To the Looter Go the Spoils",,,,,,,,,,,,,,,,0xFF01FE,"Loot the Autographed Picture of Foror & Tigule in Alterac Valley.",,,,,,,,,,,,,,,,16712190,14801,10,18,0x0,2990,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1410,-1,-1,0,"Realm First! Level 80 Orc",,,,,,,,,,,,,,,,0xFF01FE,"First orc on the realm to achieve level 80.",,,,,,,,,,,,,,,,16712190,81,0,18,0x100,3289,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1512,-1,602,0,"Loken kills (Heroic Halls of Lightning)",,,,,,,,,,,,,,,,0xFF01FE,"Loken kills (Heroic Halls of Lightning)",,,,,,,,,,,,,,,,16712190,14823,5,18,0x1,320,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
1517,-1,571,0,"Northrend Angler",,,,,,,,,,,,,,,,0xFF01FE,"Catch a fish in each of the specific nodes listed below.",,,,,,,,,,,,,,,,16712190,171,10,18,0x0,3692,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
1596,-1,-1,0,"Guru of Drakuru",,,,,,,,,,,,,,,,0xFF01FE,"Complete the main storyline quests involving Drakuru listed below.",,,,,,,,,,,,,,,,16712190,14863,10,18,0x0,3479,"",,,,,,,,,,,,,,,,4,23703897338348E37,0,0
